의도 id (그대로 두세요),의도,뜻 (참고),구분,예시 문장 — 어색하면 자유롭게 고쳐 쓰세요,빼려면 X
play_material_suggest,놀잇감 추천,,추가 초안1,병원놀이에 새로 넣어줄 만한 소품 뭐 있을까?,
play_material_suggest,놀잇감 추천,,추가 초안2,요즘 곤충에 관심 많은데 놀이에 보태줄 재료 추천해줘,
play_material_suggest,놀잇감 추천,,추가 초안3,블록 영역에 뭘 더 넣어주면 애들이 재밌어할까?,
play_material_suggest,놀잇감 추천,,추가 초안4,"가게놀이 물건이 시시해졌나 봐, 새 놀잇감 좀 골라줘",
play_scenario_generate,놀이 시나리오 만들기,"놀이 주제나 유아의 관심사를 입력으로 받아, 상상놀이에 바로 쓸 수 있는 이야기 배경과 역할 상황이 담긴 시나리오를 생성한다.",기존1 (참고용),우주 탐험 역할놀이 상황극 하나 짜줘,
play_scenario_generate,놀이 시나리오 만들기,,기존2 (참고용),얘들 소방관 놀이 하는데 출동하는 이야기 좀 만들어줘,
play_scenario_generate,놀이 시나리오 만들기,,추가 초안1,공룡 구조대 역할놀이 상황극 대본 하나 만들어줘,
play_scenario_generate,놀이 시나리오 만들기,,추가 초안2,바닷속 탐험 상상놀이 이야기 짜줘,
play_scenario_generate,놀이 시나리오 만들기,,추가 초안3,미용실놀이 상황 설정 좀 만들어줄래?,
play_scenario_generate,놀이 시나리오 만들기,,추가 초안4,우체국놀이 역할이랑 상황 시나리오 뽑아줘,
play_inquiry_question,발문(질문) 만들기,"진행 중인 놀이 장면을 입력으로 받아, 유아의 탐구와 사고를 자극할 교사 발문 목록을 생성한다.",기존1 (참고용),그림자 놀이 하는데 애들한테 뭐라고 물어보면 좋을까?,
play_inquiry_question,발문(질문) 만들기,,기존2 (참고용),여기서 던질 만한 질문 몇 개만 뽑아줘,
play_inquiry_question,발문(질문) 만들기,,추가 초안1,얼음 녹는 걸 보고 있는데 뭐라고 물어봐 주면 좋을까?,
play_inquiry_question,발문(질문) 만들기,,추가 초안2,이 그림자놀이에서 던질 탐구 질문 몇 개 만들어줘,
play_inquiry_question,발문(질문) 만들기,,추가 초안3,애들 생각을 끌어낼 발문 좀 뽑아줘,
play_inquiry_question,발문(질문) 만들기,,추가 초안4,바람개비 돌리는 애들한테 할 질문 추천해줘,
play_level_adapt,난이도 맞추기,"기존 놀이 활동을 입력으로 받아, 유아의 연령과 발달 수준에 맞게 난이도와 방법을 조정한 변형안을 생성한다.",기존1 (참고용),이거 만 3세도 할 수 있게 좀 쉽게 바꿔줘,
play_level_adapt,난이도 맞추기,,기존2 (참고용),이 게임 우리 반 형님들한텐 너무 시시한데 좀 어렵게 해줄래?,
play_level_adapt,난이도 맞추기,,추가 초안1,이 게임 만 5세용인데 동생반도 할 수 있게 쉽게 바꿔줘,
play_level_adapt,난이도 맞추기,,추가 초안2,"규칙이 너무 어려운가 봐, 수준 좀 낮춰줄래?",
play_level_adapt,난이도 맞추기,,추가 초안3,우리 반 형님들한텐 싱거운데 좀 어렵게 변형해줘,
play_level_adapt,난이도 맞추기,,추가 초안4,이 활동 연령별로 난이도 나눠서 정리해줘,
play_revive_stalled,시든 놀이 살리기,"흥미가 식거나 전개가 막힌 놀이 상황을 입력으로 받아, 유아의 몰입을 되살릴 교사 개입 방법을 제안한다.",기존1 (참고용),애들이 며칠 만에 시큰둥해졌는데 어떻게 다시 불붙이지?,
play_revive_stalled,시든 놀이 살리기,,기존2 (참고용),"가게놀이가 손님이 없어서 영 안 굴러가, 뭘 해줘야 하나",
play_revive_stalled,시든 놀이 살리기,,추가 초안1,"역할놀이가 사흘째 똑같이 돌아, 다시 재미 붙일 방법 없을까?",
play_revive_stalled,시든 놀이 살리기,,추가 초안2,"애들이 블록 영역엔 아예 안 가, 어떻게 끌어들이지?",
play_revive_stalled,시든 놀이 살리기,,추가 초안3,시들해진 병원놀이 좀 살려줘,
play_revive_stalled,시든 놀이 살리기,,추가 초안4,몰입이 확 떨어졌는데 불씨 살릴 아이디어 줘,
play_environment_setup,놀이 환경 꾸미기,"놀이 주제와 교실 여건을 입력으로 받아, 그 놀이가 잘 일어나도록 공간과 흥미 영역을 배치한 환경 구성안을 제안한다.",기존1 (참고용),역할놀이 영역 이번엔 어떻게 꾸며주지?,
play_environment_setup,놀이 환경 꾸미기,,기존2 (참고용),블록이랑 미술 영역 자리 바꿔볼까 하는데 배치 좀 짜줘,
play_environment_setup,놀이 환경 꾸미기,,추가 초안1,봄 주제로 역할영역 어떻게 꾸밀지 배치안 짜줘,
play_environment_setup,놀이 환경 꾸미기,,추가 초안2,쌓기 영역이랑 언어 영역 자리 바꿔서 구성해줄래?,
play_environment_setup,놀이 환경 꾸미기,,추가 초안3,교실 흥미영역 재배치 아이디어 줘,
play_environment_setup,놀이 환경 꾸미기,,추가 초안4,캠핑놀이 하게 교실 한쪽을 캠핑장처럼 꾸미고 싶어,
obs_record_moment,순간 관찰 기록,교사가 짧게 구술하거나 메모한 아이의 행동·말 장면을 입력받아 날짜·아동·상황 정보가 채워진 관찰 기록으로 저장한다.,기존1 (참고용),"지호 방금 처음으로 가위질 성공했어, 이거 적어놔",
obs_record_moment,순간 관찰 기록,,기존2 (참고용),방금 그 상황 관찰일지에 남겨줘,
obs_record_moment,순간 관찰 기록,,추가 초안1,"서아가 방금 친구한테 양보했어, 이거 남겨놔",
obs_record_moment,순간 관찰 기록,,추가 초안2,지금 도윤이가 한 말 관찰 메모로 적어줘,
obs_record_moment,순간 관찰 기록,,추가 초안3,"하윤이 오늘 처음으로 혼자 신발 신었어, 적어두자",
obs_record_moment,순간 관찰 기록,,추가 초안4,방금 그 장면 짧게 기록해놔줘,
obs_capture_scene,활동 장면 담기,교사가 지목한 지금 벌어지고 있는 놀이·활동 장면을 사진이나 영상으로 포착해 관찰 증거로 저장한다.,기존1 (참고용),지금 이 장면 좀 찍어놔,
obs_capture_scene,활동 장면 담기,,기존2 (참고용),쌓기놀이 하는 거 영상으로 담아줘,
obs_capture_scene,활동 장면 담기,,추가 초안1,저기 모래놀이 하는 거 사진으로 남겨줘,
obs_capture_scene,활동 장면 담기,,추가 초안2,지금 합주하는 장면 영상 좀 찍어놔,
obs_capture_scene,활동 장면 담기,,추가 초안3,이 장면 놓치지 말고 담아줘,
obs_capture_scene,활동 장면 담기,,추가 초안4,율동하는 모습 카메라로 잡아줘,
obs_tag_children,사진 속 아이 태그,화면에 열려 있는 사진이나 관찰 기록에 등장하는 아이가 누구인지 지정받아 그 자료를 해당 아동의 프로필에 연결한다.,기존1 (참고용),이 사진 서준이랑 하윤이야,
obs_tag_children,사진 속 아이 태그,,기존2 (참고용),여기 나온 애들 태그 좀 해줘,
obs_tag_children,사진 속 아이 태그,,추가 초안1,이 사진에 나온 애들 누군지 연결해줘,
obs_tag_children,사진 속 아이 태그,,추가 초안2,여기 왼쪽이 도윤이고 오른쪽이 서아야,
obs_tag_children,사진 속 아이 태그,,추가 초안3,이 영상 속 아이 민준이로 태그해줘,
obs_tag_children,사진 속 아이 태그,,추가 초안4,방금 올린 사진들 태그 좀 해줘,
obs_classify_development,발달 영역 분류,화면의 관찰 기록이나 포착된 장면의 내용을 분석해 해당하는 발달 영역과 누리과정 지표로 분류한다.,기존1 (참고용),이 기록 어느 영역에 넣으면 돼?,
obs_classify_development,발달 영역 분류,,기존2 (참고용),이거 의사소통 쪽으로 분류해줘,
obs_classify_development,발달 영역 분류,,추가 초안1,이 관찰 기록 신체운동 영역으로 분류해줘,
obs_classify_development,발달 영역 분류,,추가 초안2,방금 기록 어느 발달영역에 해당해?,
obs_classify_development,발달 영역 분류,,추가 초안3,이거 누리과정 어디에 넣으면 될까?,
obs_classify_development,발달 영역 분류,,추가 초안4,이 장면은 의사소통이야 사회관계야?,
obs_summarize_child,아이별 관찰 요약,지정된 아이의 누적 관찰 기록과 사진을 모아 최근 행동·발달 흐름을 한눈에 볼 수 있는 요약으로 생성한다.,기존1 (참고용),요즘 도윤이 어떻게 지내?,
obs_summarize_child,아이별 관찰 요약,,기존2 (참고용),이번 달 서아 관찰한 거 정리해줘,
obs_summarize_child,아이별 관찰 요약,,추가 초안1,서준이 최근 관찰 기록 한눈에 정리해줘,
obs_summarize_child,아이별 관찰 요약,,추가 초안2,이번 주 하윤이 어떻게 지냈는지 요약해줄래?,
obs_summarize_child,아이별 관찰 요약,,추가 초안3,민서 관찰한 것들 모아서 브리핑해줘,
obs_summarize_child,아이별 관찰 요약,,추가 초안4,다온이 요즘 모습 정리 좀 해줘,
obs_detect_behavior_change,행동 변화 감지,특정 아이 또는 반 전체의 관찰 데이터를 이전 시기와 비교해 달라진 행동 패턴이나 주의가 필요한 변화를 탐지해 보고한다.,기존1 (참고용),"요즘 지우가 좀 달라진 것 같은데, 뭐 있어?",
obs_detect_behavior_change,행동 변화 감지,,기존2 (참고용),혼자 노는 시간이 부쩍 는 애 있나 봐줘,
obs_detect_behavior_change,행동 변화 감지,,추가 초안1,우리 반에 요즘 식사량 확 준 애 있는지 봐줘,
obs_detect_behavior_change,행동 변화 감지,,추가 초안2,지호 행동이 지난주랑 달라진 게 있나 확인해줘,
obs_detect_behavior_change,행동 변화 감지,,추가 초안3,평소랑 다르게 구는 애 있으면 짚어줘,
obs_detect_behavior_change,행동 변화 감지,,추가 초안4,서아 요즘 말수가 준 것 같은데 기록상으로도 그래?,
obs_recommend_focus,관찰 포커스 추천,아이별 관찰 기록의 누적량과 공백을 근거로 다음에 누구를 어떤 장면에서 관찰하면 좋을지 관찰 대상을 추천한다.,기존1 (참고용),내일은 누굴 좀 봐야 하지?,
obs_recommend_focus,관찰 포커스 추천,,기존2 (참고용),관찰이 제일 부족한 애 누구야?,
obs_recommend_focus,관찰 포커스 추천,,추가 초안1,이번 주엔 누굴 중점적으로 관찰하면 좋을까?,
obs_recommend_focus,관찰 포커스 추천,,추가 초안2,관찰 기록이 부족한 아이 순서로 알려줘,
obs_recommend_focus,관찰 포커스 추천,,추가 초안3,내일 자유놀이 시간에 봐야 할 애 추천해줘,
obs_recommend_focus,관찰 포커스 추천,,추가 초안4,요즘 기록이 비어 있는 애가 누구지?,
obs_set_watchpoint,관찰 포인트 설정,지정된 아이의 특정 행동이나 상황이 다시 나타나면 포착하거나 교사에게 알리도록 관찰 워치포인트를 설정한다.,기존1 (참고용),준우가 또 친구 물면 바로 알려줘,
obs_set_watchpoint,관찰 포인트 설정,,기존2 (참고용),이번 주 서아 점심 얼마나 먹는지 좀 지켜봐줘,
obs_set_watchpoint,관찰 포인트 설정,,추가 초안1,다온이가 밥 남기면 알려주게 설정해줘,
obs_set_watchpoint,관찰 포인트 설정,,추가 초안2,서준이 낮잠 안 자는 날 체크해줘,
obs_set_watchpoint,관찰 포인트 설정,,추가 초안3,지우가 혼자 놀기 시작하면 나한테 알림 줘,
obs_set_watchpoint,관찰 포인트 설정,,추가 초안4,이번 주 내내 하윤이 또래 상호작용 지켜봐줘,
obs_search_records,관찰 기록 검색,아이·기간·활동 같은 조건을 받아 과거의 관찰 기록과 포착된 장면을 검색해 화면에 불러와 보여준다.,기존1 (참고용),하윤이 블록놀이 했던 기록 찾아줘,
obs_search_records,관찰 기록 검색,,기존2 (참고용),지난주 바깥놀이 때 찍은 거 어디 있지?,
obs_search_records,관찰 기록 검색,,추가 초안1,민준이 4월 관찰 기록 다 꺼내줘,
obs_search_records,관찰 기록 검색,,추가 초안2,바깥놀이 때 기록한 것들 찾아줘,
obs_search_records,관찰 기록 검색,,추가 초안3,지난달 서아 언어 관련 기록 있었나?,
obs_search_records,관찰 기록 검색,,추가 초안4,물놀이 날 찍은 관찰 영상 어디 있지?,
text_naturalize,글 자연스럽게 다듬기,"화면에서 선택했거나 방금 작성한 기존 글을 입력으로, 내용과 사실은 그대로 유지하면서 어색하거나 딱딱한 표현을 매끄러운 문장으로 고쳐 쓴 수정본을 만든다.",기존1 (참고용),이거 좀 자연스럽게 만들어줘,
text_naturalize,글 자연스럽게 다듬기,,기존2 (참고용),문장이 너무 딱딱한데 좀 부드럽게 해줄래?,
text_naturalize,글 자연스럽게 다듬기,,추가 초안1,이 문장 좀 부드럽게 다듬어줘,
text_naturalize,글 자연스럽게 다듬기,,추가 초안2,말투가 너무 사무적인데 따뜻하게 고쳐줄래?,
text_naturalize,글 자연스럽게 다듬기,,추가 초안3,이 단락 읽기 편하게 손봐줘,
text_naturalize,글 자연스럽게 다듬기,,추가 초안4,"문장이 번역투 같아, 자연스럽게 바꿔줘",
write_activity_followup,활동 후속 기록 쓰기,"방금 마친 활동의 사진·메모·관찰 내용을 입력으로, 활동이 어떻게 진행됐고 다음에 무엇으로 이어갈지를 담은 후속 기록 글을 새로 작성한다.",기존1 (참고용),오늘 물감놀이 한 거 후속 기록 좀 써줘,
write_activity_followup,활동 후속 기록 쓰기,,기존2 (참고용),아까 그 블록 활동 이어서 기록 남겨야 되는데 초안 좀,
write_activity_followup,활동 후속 기록 쓰기,,추가 초안1,오늘 요리활동 후속 기록 초안 잡아줘,
write_activity_followup,활동 후속 기록 쓰기,,추가 초안2,"아까 산책 활동, 이어갈 방향까지 담아서 기록 써줘",
write_activity_followup,활동 후속 기록 쓰기,,추가 초안3,모래놀이 오늘 한 것과 다음 전개 정리해줘,
write_activity_followup,활동 후속 기록 쓰기,,추가 초안4,"찰흙 활동 마무리 기록 남겨야 해, 써줄래?",
doc_observation_record,관찰 기록문 쓰기,"교사가 말하거나 메모해 둔 특정 아이의 행동·말 관찰 내용을 입력으로, 격식을 갖춘 관찰 기록 문서를 작성한다.",기존1 (참고용),"지우가 오늘 블록으로 성 만들었거든, 이거 관찰기록으로 써줘",
doc_observation_record,관찰 기록문 쓰기,,기존2 (참고용),"얘가 오늘 처음으로 친구한테 먼저 말 걸었어, 기록 좀 남겨줘",
doc_observation_record,관찰 기록문 쓰기,,추가 초안1,"서아가 오늘 퍼즐 열두 조각을 혼자 맞췄어, 관찰기록문으로 정리해줘",
doc_observation_record,관찰 기록문 쓰기,,추가 초안2,이 메모를 정식 관찰기록으로 써줘,
doc_observation_record,관찰 기록문 쓰기,,추가 초안3,도윤이 역할놀이 관찰한 내용 문서로 만들어줘,
doc_observation_record,관찰 기록문 쓰기,,추가 초안4,오늘 적어둔 것 격식 갖춘 관찰문으로 바꿔줘,
doc_notice_draft,알림장 초안 쓰기,"준비물·일정·안내 사항 같은 전달 내용을 입력으로, 학부모에게 보낼 알림장 글 초안을 작성한다.",기존1 (참고용),내일 견학 가니까 준비물 알림장 좀 써줘,
doc_notice_draft,알림장 초안 쓰기,,기존2 (참고용),"다음 주 상담 주간 안내 나가야 돼, 알림장 초안 부탁해",
doc_notice_draft,알림장 초안 쓰기,,추가 초안1,다음 주 재량휴업일 안내 알림장 초안 써줘,
doc_notice_draft,알림장 초안 쓰기,,추가 초안2,독감 유행이라 손씻기 협조 알림장 하나 만들어줘,
doc_notice_draft,알림장 초안 쓰기,,추가 초안3,겨울 옷차림 안내 알림장 써줄래?,
doc_notice_draft,알림장 초안 쓰기,,추가 초안4,수족구 예방 안내문 초안 부탁해,
doc_plan_draft,활동계획안 쓰기,"활동 주제·기간·지난 계획 같은 정보를 입력으로, 주간·일일 계획안 문서의 초안을 작성한다.",기존1 (참고용),다음 주 주간계획안 좀 짜줘,
doc_plan_draft,활동계획안 쓰기,,기존2 (참고용),봄 프로젝트로 이번 주 일일계획 초안 만들어줄래?,
doc_plan_draft,활동계획안 쓰기,,추가 초안1,다음 주 '가을 열매' 주간계획안 초안 짜줘,
doc_plan_draft,활동계획안 쓰기,,추가 초안2,내일 일일계획안 만들어줘,
doc_plan_draft,활동계획안 쓰기,,추가 초안3,여름 물놀이 주간 활동계획안 짜줘,
doc_plan_draft,활동계획안 쓰기,,추가 초안4,봄꽃 산책 활동 계획서 초안 잡아줘,
doc_summarize,글 요약하기,"선택한 긴 기록이나 문서를 입력으로, 핵심 내용만 남긴 더 짧은 요약문을 만든다.",기존1 (참고용),이거 너무 긴데 세 줄로 요약 좀,
doc_summarize,글 요약하기,,기존2 (참고용),이번 달 관찰기록들 핵심만 추려줘,
doc_summarize,글 요약하기,,추가 초안1,이 공문 핵심만 추려줘,
doc_summarize,글 요약하기,,추가 초안2,긴 안내문인데 세 줄로 압축해줘,
doc_summarize,글 요약하기,,추가 초안3,이 기록 요점만 남게 줄여줘,
doc_summarize,글 요약하기,,추가 초안4,회의록 요약본 만들어줘,
doc_expand_text,짧은 메모 늘려 쓰기,"짧은 메모나 몇 문장짜리 초안을 입력으로, 내용을 구체화하고 살을 붙여 더 상세한 완성 글로 확장한다.",기존1 (참고용),이 메모 가지고 한 문단으로 늘려줘,
doc_expand_text,짧은 메모 늘려 쓰기,,기존2 (참고용),두 줄밖에 못 썼는데 여기에 살 좀 붙여줄래?,
doc_expand_text,짧은 메모 늘려 쓰기,,추가 초안1,"'블록 성 만듦, 뿌듯해함' 이 메모를 한 문단으로 늘려줘",
doc_expand_text,짧은 메모 늘려 쓰기,,추가 초안2,두 줄짜리 소감에 살 붙여서 늘려줘,
doc_expand_text,짧은 메모 늘려 쓰기,,추가 초안3,이 개요를 완성된 글로 확장해줘,
doc_expand_text,짧은 메모 늘려 쓰기,,추가 초안4,키워드만 적어놨는데 문장으로 풀어줘,
doc_proofread,맞춤법 교정,"선택한 글을 입력으로, 맞춤법·띄어쓰기·오탈자를 찾아 바르게 고친 교정본을 만든다.",기존1 (참고용),맞춤법 좀 봐줘,
doc_proofread,맞춤법 교정,,기존2 (참고용),여기 오타 있나 확인해서 고쳐줄래?,
doc_proofread,맞춤법 교정,,추가 초안1,이 알림장 맞춤법 검사해줘,
doc_proofread,맞춤법 교정,,추가 초안2,띄어쓰기 틀린 데 잡아줘,
doc_proofread,맞춤법 교정,,추가 초안3,오타 있나 한번 훑어줄래?,
doc_proofread,맞춤법 교정,,추가 초안4,보내기 전에 철자 확인 부탁해,
doc_portfolio_comment,포트폴리오 코멘트 쓰기,"한 아이의 누적된 기록·사진을 입력으로, 포트폴리오에 들어갈 발달 종합 코멘트(총평)를 작성한다.",기존1 (참고용),지우 포트폴리오 총평 좀 써줘,
doc_portfolio_comment,포트폴리오 코멘트 쓰기,,기존2 (참고용),이번 학기 애들 발달 코멘트 하나씩 써야 하는데 서준이 것부터,
doc_portfolio_comment,포트폴리오 코멘트 쓰기,,추가 초안1,하윤이 1학기 포트폴리오 총평 써줘,
doc_portfolio_comment,포트폴리오 코멘트 쓰기,,추가 초안2,민준이 발달 종합 코멘트 초안 잡아줘,
doc_portfolio_comment,포트폴리오 코멘트 쓰기,,추가 초안3,포트폴리오 마지막 장에 들어갈 교사 한마디 써줄래?,
doc_portfolio_comment,포트폴리오 코멘트 쓰기,,추가 초안4,서아 성장 코멘트 부탁해,
visual_naturalize,사진 자연스럽게 보정,선택된 사진의 색감·노출·기울기·흔들림 같은 결함을 원본 분위기를 해치지 않는 선에서 자연스럽게 보정한 결과 사진을 만든다.,기존1 (참고용),이거 좀 자연스럽게 만들어줘,
visual_naturalize,사진 자연스럽게 보정,,기존2 (참고용),"사진이 너무 어둡게 나왔네, 좀 살려줄 수 있어?",
visual_naturalize,사진 자연스럽게 보정,,추가 초안1,"이 사진 너무 노랗게 나왔어, 색 좀 잡아줘",
visual_naturalize,사진 자연스럽게 보정,,추가 초안2,역광이라 얼굴이 어두운데 살려줄래?,
visual_naturalize,사진 자연스럽게 보정,,추가 초안3,사진이 좀 뿌옇게 나왔는데 선명하게 보정해줘,
visual_naturalize,사진 자연스럽게 보정,,추가 초안4,기울어진 사진 반듯하게 세워줘,
visual_layout_refine,게시물 배치 다듬기,알림장·포트폴리오·놀이 보드 등 현재 화면에 놓인 사진과 텍스트 요소의 배치·정렬·간격을 다듬어 보기 좋은 레이아웃으로 재구성한다.,기존1 (참고용),알림장 사진 배치가 좀 어수선한데 정돈해줘,
visual_layout_refine,게시물 배치 다듬기,,기존2 (참고용),이 페이지 좀 보기 좋게 다듬어줄래?,
visual_layout_refine,게시물 배치 다듬기,,추가 초안1,"알림장 사진 간격이 들쭉날쭉해, 정렬 좀 해줘",
visual_layout_refine,게시물 배치 다듬기,,추가 초안2,이 판 구성이 답답한데 시원하게 재배치해줘,
visual_layout_refine,게시물 배치 다듬기,,추가 초안3,게시판 레이아웃 보기 좋게 다듬어줘,
visual_layout_refine,게시물 배치 다듬기,,추가 초안4,사진이랑 글 배치 균형 좀 맞춰줄래?,
visual_photo_organize,사진 정리,업로드되거나 선택된 여러 장의 활동 사진을 활동·날짜·아동 기준으로 분류하고 중복·실패 컷을 정리해 정돈된 앨범 구조로 만든다.,기존1 (참고용),이 사진 정리 좀,
visual_photo_organize,사진 정리,,기존2 (참고용),오늘 찍은 거 활동별로 나눠줘,
visual_photo_organize,사진 정리,,추가 초안1,오늘 찍은 사진 활동별로 폴더 나눠줘,
visual_photo_organize,사진 정리,,추가 초안2,중복 컷 걸러내고 앨범 정리해줘,
visual_photo_organize,사진 정리,,추가 초안3,지난주 사진들 날짜순으로 묶어줘,
visual_photo_organize,사진 정리,,추가 초안4,"사진첩이 뒤죽박죽이야, 정리 좀 해줘",
visual_photo_pick_best,베스트 사진 고르기,여러 장의 후보 사진 가운데 초점·표정·구도 같은 품질과 쓰임새 적합성을 기준으로 쓸 만한 소수의 사진을 골라 추천한다.,기존1 (참고용),이 중에 제일 잘 나온 걸로 골라줘,
visual_photo_pick_best,베스트 사진 고르기,,기존2 (참고용),알림장에 넣을 만한 거 두세 장만 뽑아줄래?,
visual_photo_pick_best,베스트 사진 고르기,,추가 초안1,발표회 사진 중에 제일 잘 나온 것 골라줘,
visual_photo_pick_best,베스트 사진 고르기,,추가 초안2,포트폴리오에 쓸 만한 컷 세 장만 추려줘,
visual_photo_pick_best,베스트 사진 고르기,,추가 초안3,눈 감은 것 빼고 괜찮은 사진 뽑아줄래?,
visual_photo_pick_best,베스트 사진 고르기,,추가 초안4,이 중에서 알림장에 넣을 베스트컷 골라줘,
visual_image_generate,그림 만들기,교사가 말한 주제나 설명을 입력으로 활동 자료·알림장·안내문에 쓸 새 삽화나 이미지를 생성한다.,기존1 (참고용),다음 주 주제가 가을인데 어울리는 그림 하나 만들어줘,
visual_image_generate,그림 만들기,,기존2 (참고용),물놀이 안내문에 넣을 귀여운 삽화 하나만,
visual_image_generate,그림 만들기,,추가 초안1,토끼 그림 하나 그려줘,
visual_image_generate,그림 만들기,,추가 초안2,가을 소풍 안내문에 넣을 단풍 일러스트 만들어줘,
visual_image_generate,그림 만들기,,추가 초안4,생일판에 쓸 케이크 그림 그려줄래?,
visual_privacy_mask,얼굴 모자이크 처리,선택된 사진에서 공개하면 안 되는 아동 얼굴이나 개인정보가 드러난 영역을 찾아 흐림·스티커 처리한 공유 가능한 사진을 만든다.,기존1 (참고용),뒤에 다른 반 애들 얼굴 좀 가려줘,
visual_privacy_mask,얼굴 모자이크 처리,,기존2 (참고용),이거 올려도 되게 얼굴 처리 해줄래?,
visual_privacy_mask,얼굴 모자이크 처리,,추가 초안1,뒤에 지나가는 애 얼굴 모자이크 해줘,
visual_privacy_mask,얼굴 모자이크 처리,,추가 초안2,우리 반 아닌 애들은 다 가려줘,
visual_privacy_mask,얼굴 모자이크 처리,,추가 초안3,이 사진 개인정보 보이는 부분 흐리게 처리해줘,
visual_privacy_mask,얼굴 모자이크 처리,,추가 초안4,명찰 이름 안 보이게 처리해줄래?,
visual_crop_focus,사진 크롭·확대,선택된 사진에서 특정 아동이나 장면이 잘 보이도록 해당 부분을 잘라내거나 확대한 이미지를 만든다.,기존1 (참고용),여기서 서연이만 크게 나오게 잘라줘,
visual_crop_focus,사진 크롭·확대,,기존2 (참고용),가운데 만들기 하는 부분만 확대해줄래?,
visual_crop_focus,사진 크롭·확대,,추가 초안1,이 사진에서 다온이만 나오게 잘라줘,
visual_crop_focus,사진 크롭·확대,,추가 초안2,가운데 작품 부분만 확대해줘,
visual_crop_focus,사진 크롭·확대,,추가 초안3,"배경이 너무 넓다, 아이들 중심으로 잘라줘",
visual_crop_focus,사진 크롭·확대,,추가 초안4,이 부분만 클로즈업해서 저장해줄래?,
visual_decorate,사진 꾸미기,선택된 사진이나 페이지 위에 프레임·스티커·날짜·이름표 같은 꾸밈 요소를 얹어 장식된 버전을 만든다.,기존1 (참고용),이 사진 생일 느낌 나게 꾸며줘,
visual_decorate,사진 꾸미기,,기존2 (참고용),여기에 날짜랑 이름 스티커 좀 붙여줄래?,
visual_decorate,사진 꾸미기,,추가 초안1,이 사진에 생일 왕관 스티커 붙여줘,
visual_decorate,사진 꾸미기,,추가 초안2,테두리 귀엽게 꾸며줄래?,
